,Name,ICAM,p30,PD1,p30 + PD1
41,D2-250207,-11490.719987999997,171089.320647,231717.67345958512,15430.817208000008
42,D2-250207,14086.076504615397,666919.2749671111,40989.8616245,715378.1432619999
43,D2-250207,-5876.226370153847,305378.48658333335,432766.1771645,625171.3259897778
44,D2-250207,564635.583670154,832415.8212566666,1042817.4946060001,2033918.0875028889
45,D2-250207,34151.51829935599,508381.1899333333,428697.9225255,1093098.1443265553
46,D2-250207,-18340.561359615356,1129706.0266800001,-5382.6378735000035,591319.5843426667
0,D2-160125,96007.12812599997,848168.1264363999,-2503.7628558749857,42011.50189900001
1,D2-160125,-83204.79514200002,130374.6036236,31892.12217675004,119116.55399333332
2,D2-160125,14480.17504500001,13547.856077100005,-12026.069702999972,2189905.2104956666
3,D2-160125,-57033.75347600001,131119.184895,174556.060246125,29826.584964999987
4,D2-160125,-843.4737000000314,-4714.3996357,49535.55050325004,-3352.343518333335
5,D2-160125,-19368.05753400002,339.8434515000117,15831.886213874997,22530.580830333332
6,D2-160125,-3284.4370100000087,15512.40469120002,2836.4036868750118,-3747.7689440000104
7,D2-160125,81903.80809799989,238309.9173158,-16286.339118124975,4755.604583999993
8,D2-160125,-7633.453997000062,127097.28289143849,-33567.83332237498,11241.594566666667
9,D2-160125,141927.21367899998,4845.479867800008,-20070.59485124998,3378.569514666655
10,D2-160125,152511.19897499983,261020.0807466,18412.798765624997,124930.820982
11,D2-160125,-79138.00764000003,25856.17170900001,159899.68595025002,-5005.404521999997
12,D2-160125,-9589.811520000047,-982.4987533000021,48245.495900625,1703.1168423333365
13,D2-160125,18498.312734999992,149859.51063550002,-12937.518213124975,4006.4357739999978
14,D2-160125,40088.60404399999,8802.0378633,6973.157252500023,258046.92647066663
15,D2-160125,-189142.4855040001,250588.06616479997,6272.2727300000115,365400.79834866663
16,D2-160125,2916.949289999975,94867.8691578,17748.37793625002,24307.601893333325
17,D2-160125,13325.168747999996,191993.6828529,88147.76555575003,182809.17282366665
18,D2-160125,-108375.72768000007,70135.33857949999,67839.60082550009,-3449.028328666682
19,D2-160125,22780.006792879965,279059.37949260004,39986.97040337502,181449.154628
20,D2-160125,34162.93097999989,124733.19315930005,60099.65606687503,-10576.567179333346
21,D2-160125,73492.67288999999,128355.33192489999,-447.13461000000825,549896.7836083333
22,D2-160125,17906.043852000003,32122.568670000022,-2913.654908249984,17069.237876000007
23,D2-160125,-85696.51612600009,82673.9302905,65082.95382750005,24336.393050666666
24,D2-160125,196337.89121099992,77502.27123929998,-52369.75878074998,6669.914151666671
0,D1-241217,-40208.31073140004,398422.607076,-39562.20982083329,79160.22048600006
1,D1-241217,-6238.259116800022,69842.75407800003,2304.2597693333373,20815.537948500016
2,D1-241217,-124.38689880001766,-12927.406310999999,50525.020186666676,186825.71494349997
3,D1-241217,4776.3115903999715,-15111.374207999907,-15908.04479133332,174966.95966
4,D1-241217,3324.4208447999554,86091.16338000003,66182.60410416665,154550.15092549997
5,D1-241217,-9453.379818400019,456550.507008,38038.982948333345,230211.10612500002
6,D1-241217,154928.66103400002,-4114.628599999996,13697.946166666661,514079.9857685001
7,D1-241217,-10554.81649279999,69322.23020699999,-48953.78588149996,147741.5185535
8,D1-241217,11077.576321114268,164631.91830300004,73045.67039466668,119267.38164400001
9,D1-241217,2317.5918919999676,493312.885335,220045.41903483335,247438.797225
10,D1-241217,-5232.243765000021,53505.41738500001,219816.7517875,56157.13967750002
11,D1-241217,17582.919225599966,33142.27248,46870.37730833335,2235.6003450000135
12,D1-241217,-16159.254702000006,62352.640920000005,34893.56270633332,157237.5268025
13,D1-241217,47174.1287472,202642.79979900006,869.6061566666613,217544.38597499998
